,0
в,11397
и,10209
на,6486
не,4513
с,3813
вы,3447
их,3009
подумайте,2860
неправы,2856
стойте,2777
что,2735
пора,2700
мир,2688
против,2669
захватили,2661
убивать,2658
мерзавцы,2556
действуем,2537
по,2517
а,2505
выходим,2435
это,1677
как,1617
для,1563
за,1315
из,1281
от,1243
лахта,1206
к,1200
у,1197
но,1102
я,1097
то,935
так,918
до,906
все,902
будет,874
о,803
уже,783
только,711
центр,701
же,665
или,627
бы,619
он,610
его,610
если,599
года,599
города,597
есть,589
мы,586
там,555
можно,551
реж,501
вот,480
россии,475
да,458
при,455
где,448
нет,444
они,435
газпром,432
может,421
лахтацентр,420
было,420
еще,403
очень,401
время,400
когда,389
чтобы,384
также,383
после,378
году,371
под,366
ты,365
петербурга,364
даже,359
этом,355
июня,352
ну,349
центра,347
сша,345
ещё,339
кто,338
был,338
мне,336
со,336
нас,332
город,331
который,322
чем,322
во,318
без,317
петербурге,309
2,309
тоже,305
которые,303
компании,295
сейчас,295
всё,293
просто,288
более,284
онлайн,279
этот,279
лет,278
раз,273
надо,273
проект,271
она,269
будут,268
быть,266
этого,265
рублей,264
м,263
том,263
день,260
деньги,259
была,259
тут,259
метро,258
⠀,258
небоскреб,257
строительство,257
больше,253
здесь,249
про,247
место,247
залив,244
санктпетербурга,244
вас,244
ни,240
один,238
остров,234
газпром»,230
территории,230
вам,229
меня,227
петербург,225
того,224
залива,224
работы,221
2021,221
г,219
санктпетербург,218
александр,218
вид,218
дома,217
себя,216
башня,213
1,212
газпрома,210
городе,210
об,207
парк,205
рядом,204
новый,204
люди,201
людей,200
них,199
5,199
фото,199
всех,198
ул,198
районе,196
ли,196
этой,196
были,195
эти,195
здание,194
много,193
им,190
строительства,189
башни,186
два,186
санктпетербурге,184
теперь,184
через,183
3,183
почему,181
финского,181
лучше,180
проекта,180
метра,179
пока,178
всего,177
ее,175
мире,174
построить,174
такой,171
10,171
всем,171
лахте,171
год,170
тем,169
места,168
вообще,168
центр»,167
потом,167
сегодня,167
первый,166
стоит,164
себе,163
нужно,163
человек,162
которая,159
млрд,159
стоимость,158
ничего,158
такие,157
центре,157
район,155
конечно,152
дмитрий,151
второй,150
могут,150
дом,149
casino,148
спасибо,147
лахтацентра,146
поэтому,146
несколько,146
компания,145
потому,144
15,144
всегда,142
андрей,141
строить,141
часть,141
алексей,140
каждый,140
её,140
спб,139
минут,139
вопрос,138
острова,137
20,136
жизни,136
чего,136
высоте,136
пао,135
такое,132
большой,131
пусть,131
москвы,131
финский,130
нам,129
квартира,129
между,129
сергей,129
северной,128
станции,127
сам,127
